city,country,continent,lon,lat,koppen_geiger_class,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group,wbt_continent_wbt
Jinan,China,Asia,117.1875,36.93491964,11,Cwa,"Temperate, dry winter, hot summer",2798000,Very Large (>1M),24.060764
Huanghua,China,Asia,117.1875,38.125,11,Cwa,"Temperate, dry winter, hot summer",120000,Medium (50k-500k),29.708002
Tianjin,China,Asia,117.1875,38.80503939,11,Cwa,"Temperate, dry winter, hot summer",7180000,Very Large (>1M),20.847984
Tianjin,China,Asia,117.1875,39.375,11,Cwa,"Temperate, dry winter, hot summer",7180000,Very Large (>1M),20.847984
Manzhouli,China,Asia,117.1875,49.375,7,BSk,"Arid, steppe, cold",93620,Medium (50k-500k),-14.881714
Bukachacha,Russia,Europe,117.1875,52.83091393,21,Dwa,"Cold, dry winter, hot summer",3372,Small (<50k),21.388956
Bukachacha,Russia,Europe,117.1875,53.125,22,Dwb,"Cold, dry winter, warm summer",3372,Small (<50k),21.388956
Wagin,Australia,Oceania,117.5,-33.45549738,6,BSh,"Arid, steppe, hot",1598,Small (<50k),22.671677
Narrogin,Australia,Oceania,117.5,-32.957745,4,BWh,"Arid, desert, hot",4238,Small (<50k),22.671677
Mount Magnet,Australia,Oceania,117.5,-27.887323,4,BWh,"Arid, desert, hot",424,Small (<50k),20.437668
Mount Magnet,Australia,Oceania,117.5,-27.80104712,4,BWh,"Arid, desert, hot",424,Small (<50k),20.437668
Jingdezhen,China,Asia,117.5,29.15493,14,Cfa,"Temperate, no dry season, hot summer",457298,Medium (50k-500k),25.621456
Hefei,China,Asia,117.5,31.57068063,14,Cfa,"Temperate, no dry season, hot summer",2035000,Very Large (>1M),29.088324
Hefei,China,Asia,117.5,31.690142,14,Cfa,"Temperate, no dry season, hot summer",2035000,Very Large (>1M),29.088324
Bengbu,China,Asia,117.5,32.957745,14,Cfa,"Temperate, no dry season, hot summer",894000,Large (500k-1M),8.704056
Xuzhou,China,Asia,117.5,34.225353,11,Cwa,"Temperate, dry winter, hot summer",2091000,Very Large (>1M),7.180521
Xuzhou,China,Asia,117.5,34.39790576,11,Cwa,"Temperate, dry winter, hot summer",2091000,Very Large (>1M),7.180521
Pingyi,China,Asia,117.5,35.34031414,11,Cwa,"Temperate, dry winter, hot summer",78254,Medium (50k-500k),22.248377
Pingyi,China,Asia,117.5,35.492958,11,Cwa,"Temperate, dry winter, hot summer",78254,Medium (50k-500k),22.248377
Laiwu,China,Asia,117.5,36.28272251,11,Cwa,"Temperate, dry winter, hot summer",124108,Medium (50k-500k),22.248377
Huanghua,China,Asia,117.5,38.16753927,11,Cwa,"Temperate, dry winter, hot summer",120000,Medium (50k-500k),29.708002
Hangu,China,Asia,117.5,39.10994764,11,Cwa,"Temperate, dry winter, hot summer",7180000,Very Large (>1M),20.847984
Hangu,China,Asia,117.5,39.295776,11,Cwa,"Temperate, dry winter, hot summer",332793,Medium (50k-500k),20.847984
Manzhouli,China,Asia,117.5,49.43662,7,BSk,"Arid, steppe, cold",93620,Medium (50k-500k),-14.881714
Manzhouli,China,Asia,117.5,49.47643979,7,BSk,"Arid, steppe, cold",93620,Medium (50k-500k),-14.881714
Suntar,Russia,Europe,117.5,62.112675,25,Dfa,"Cold, no dry season, hot summer",8639,Small (<50k),19.22086
Merredin,Australia,Oceania,118,-31.39240506,4,BWh,"Arid, desert, hot",2668,Small (<50k),20.653803
Mount Magnet,Australia,Oceania,118,-27.75,4,BWh,"Arid, desert, hot",424,Small (<50k),20.437668
Lahad Datu,Malaysia,Asia,118,5.063291139,1,Af,"Tropical, rainforest",105622,Medium (50k-500k),27.906124
Lahad Datu,Malaysia,Asia,118,5.25,1,Af,"Tropical, rainforest",105622,Medium (50k-500k),27.718035
Xiamen,China,Asia,118,24.75,14,Cfa,"Temperate, no dry season, hot summer",2519000,Very Large (>1M),15.059567
Nanping,China,Asia,118,26.25,14,Cfa,"Temperate, no dry season, hot summer",209444,Medium (50k-500k),26.731297
Tongling,China,Asia,118,30.75,14,Cfa,"Temperate, no dry season, hot summer",562832,Large (500k-1M),16.266487
Wuhu,China,Asia,118,31.39240506,14,Cfa,"Temperate, no dry season, hot summer",810000,Large (500k-1M),9.241425
Linyi,China,Asia,118,35.25,11,Cwa,"Temperate, dry winter, hot summer",2082000,Very Large (>1M),3.374789
Pingyi,China,Asia,118,35.44303797,11,Cwa,"Temperate, dry winter, hot summer",78254,Medium (50k-500k),3.9112937
Zibo,China,Asia,118,36.75,11,Cwa,"Temperate, dry winter, hot summer",3061000,Very Large (>1M),4.704697
Buizhou,China,Asia,118,37.46835443,11,Cwa,"Temperate, dry winter, hot summer",115893,Medium (50k-500k),26.79733
Tangshan,China,Asia,118,39.49367089,11,Cwa,"Temperate, dry winter, hot summer",1879000,Very Large (>1M),23.623562
