city,country,continent,lon,lat,Change_Factor_DSI,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group
Benha,Egypt,Africa,31.25,30.62827225,0.757082432,BWh,"Arid, desert, hot",167029,Medium (50k-500k)
Ismaïlia,Egypt,Africa,32.5,30.62827225,0.643986506,BWh,"Arid, desert, hot",656135,Large (500k-1M)
Az Aubayr,Iraq,Asia,47.5,30.62827225,1.285472279,BWh,"Arid, desert, hot",870000,Large (500k-1M)
Behbehan,Iran,Asia,50,30.62827225,1.094511743,BSh,"Arid, steppe, hot",85707,Medium (50k-500k)
Yasuj,Iran,Asia,51.25,30.62827225,1.025664553,Csa,"Temperate, dry summer, hot summer (Mediterranean)",96786,Medium (50k-500k)
Chaman,Pakistan,Asia,66.25,30.62827225,0.981995525,BWh,"Arid, desert, hot",88568,Medium (50k-500k)
Okara,Pakistan,Asia,73.75,30.62827225,1.348114663,BWh,"Arid, desert, hot",223648,Medium (50k-500k)
Patiala,India,Asia,76.25,30.62827225,1.192735907,Cwa,"Temperate, dry winter, hot summer",329224,Medium (50k-500k)
Chengdu,China,Asia,103.75,30.62827225,0.999509781,Cwa,"Temperate, dry winter, hot summer",4123000,Very Large (>1M)
Nanchong,China,Asia,106.25,30.62827225,1.140486864,Cwa,"Temperate, dry winter, hot summer",2174000,Very Large (>1M)
Wanzhou,China,Asia,108.75,30.62827225,1.10128402,Cfa,"Temperate, no dry season, hot summer",1680000,Very Large (>1M)
Yichang,China,Asia,111.25,30.62827225,1.044688864,Cwa,"Temperate, dry winter, hot summer",875000,Large (500k-1M)
Xiaogan,China,Asia,113.75,30.62827225,1.071420451,Cfa,"Temperate, no dry season, hot summer",160437,Medium (50k-500k)
