city,country,continent,lon,lat,Change_Factor_DSI,climate_class_label,climate_class_description,nearest_city_pop_max,pop_group
Shishou,China,Asia,112.5,29.68586387,1.140354752,Cfa,"Temperate, no dry season, hot summer",231787,Medium (50k-500k)
Puqi,China,Asia,113.75,29.68586387,1.091631756,Cfa,"Temperate, no dry season, hot summer",205164,Medium (50k-500k)
Jiujiang,China,Asia,116.25,29.68586387,1.127079253,Cfa,"Temperate, no dry season, hot summer",545616,Large (500k-1M)
Fuyang,China,Asia,120,29.68586387,1.100560267,Cfa,"Temperate, no dry season, hot summer",771000,Large (500k-1M)
Ningbo,China,Asia,121.25,29.68586387,1.097320031,Cfa,"Temperate, no dry season, hot summer",1923000,Very Large (>1M)
San Antonio,United States of America,North America,-98.75,29.68586387,0.665765427,Cfa,"Temperate, no dry season, hot summer",1473000,Very Large (>1M)
Baytown,United States of America,North America,-95,29.68586387,0.669668268,Cfa,"Temperate, no dry season, hot summer",86034,Medium (50k-500k)
New Orleans,United States of America,North America,-90,29.68586387,0.825249711,Cfa,"Temperate, no dry season, hot summer",785000,Large (500k-1M)
Gainesville,United States of America,North America,-82.5,29.68586387,1.103373571,Cfa,"Temperate, no dry season, hot summer",191097,Medium (50k-500k)
Palm Coast,United States of America,North America,-81.25,29.68586387,1.058151705,Cfa,"Temperate, no dry season, hot summer",48577,Small (<50k)
Al Jaghbub,Libya,Africa,24.75,29.71946747,0,BWh,"Arid, desert, hot",1744,Small (<50k)
Al Aqabah,Jordan,Asia,34.875,29.71946747,0,BWh,"Arid, desert, hot",95048,Medium (50k-500k)
Rafha,Saudi Arabia,Asia,43.875,29.71946747,0,BWh,"Arid, desert, hot",64755,Medium (50k-500k)
Marv Dasht,Iran,Asia,52.875,29.71946747,0,BSh,"Arid, steppe, hot",125000,Medium (50k-500k)
Zahedan,Iran,Asia,60.75,29.71946747,0,BWh,"Arid, desert, hot",598887,Large (500k-1M)
Sirsa,India,Asia,75.375,29.71946747,0,BSh,"Arid, steppe, hot",181639,Medium (50k-500k)
Muzaffarnagar,India,Asia,77.625,29.71946747,0,Cwa,"Temperate, dry winter, hot summer",349706,Medium (50k-500k)
Lhasa,China,Asia,91.125,29.71946747,0,Dwb,"Cold, dry winter, warm summer",219599,Medium (50k-500k)
Nyingchi,China,Asia,94.5,29.71946747,0,Dwc,"Cold, dry winter, cold summer",100,Small (<50k)
Leshan,China,Asia,103.5,29.71946747,0,Cwa,"Temperate, dry winter, hot summer",1157000,Very Large (>1M)
Zigong,China,Asia,104.625,29.71946747,0,Cwa,"Temperate, dry winter, hot summer",1105000,Very Large (>1M)
Chongqing,China,Asia,106.875,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",6461000,Very Large (>1M)
Shishou,China,Asia,112.5,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",231787,Medium (50k-500k)
Puqi,China,Asia,113.625,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",205164,Medium (50k-500k)
Jiujiang,China,Asia,115.875,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",545616,Large (500k-1M)
Shaoxing,China,Asia,120.375,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",777000,Large (500k-1M)
Ningbo,China,Asia,121.5,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",1923000,Very Large (>1M)
Ojinaga,Mexico,North America,-104.625,29.71946747,0,BWh,"Arid, desert, hot",22128,Small (<50k)
San Marcos,United States of America,North America,-97.875,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",70371,Medium (50k-500k)
Houston,United States of America,North America,-95.625,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",4459000,Very Large (>1M)
Houma,United States of America,North America,-91.125,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",64592,Medium (50k-500k)
New Orleans,United States of America,North America,-90,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",785000,Large (500k-1M)
Gainesville,United States of America,North America,-82.125,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",191097,Medium (50k-500k)
Al Jaghbub,Libya,Africa,24.75,29.71946747,0,BWh,"Arid, desert, hot",1744,Small (<50k)
Al Aqabah,Jordan,Asia,34.875,29.71946747,0,BWh,"Arid, desert, hot",95048,Medium (50k-500k)
Rafha,Saudi Arabia,Asia,43.875,29.71946747,0,BWh,"Arid, desert, hot",64755,Medium (50k-500k)
Marv Dasht,Iran,Asia,52.875,29.71946747,0,BSh,"Arid, steppe, hot",125000,Medium (50k-500k)
Zahedan,Iran,Asia,60.75,29.71946747,0,BWh,"Arid, desert, hot",598887,Large (500k-1M)
Sirsa,India,Asia,75.375,29.71946747,0,BSh,"Arid, steppe, hot",181639,Medium (50k-500k)
Muzaffarnagar,India,Asia,77.625,29.71946747,0,Cwa,"Temperate, dry winter, hot summer",349706,Medium (50k-500k)
Lhasa,China,Asia,91.125,29.71946747,0,Dwb,"Cold, dry winter, warm summer",219599,Medium (50k-500k)
Nyingchi,China,Asia,94.5,29.71946747,0,Dwc,"Cold, dry winter, cold summer",100,Small (<50k)
Leshan,China,Asia,103.5,29.71946747,0,Cwa,"Temperate, dry winter, hot summer",1157000,Very Large (>1M)
Zigong,China,Asia,104.625,29.71946747,0,Cwa,"Temperate, dry winter, hot summer",1105000,Very Large (>1M)
Chongqing,China,Asia,106.875,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",6461000,Very Large (>1M)
Shishou,China,Asia,112.5,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",231787,Medium (50k-500k)
Puqi,China,Asia,113.625,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",205164,Medium (50k-500k)
Jiujiang,China,Asia,115.875,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",545616,Large (500k-1M)
Shaoxing,China,Asia,120.375,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",777000,Large (500k-1M)
Ningbo,China,Asia,121.5,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",1923000,Very Large (>1M)
Ojinaga,Mexico,North America,-104.625,29.71946747,0,BWh,"Arid, desert, hot",22128,Small (<50k)
San Marcos,United States of America,North America,-97.875,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",70371,Medium (50k-500k)
Houston,United States of America,North America,-95.625,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",4459000,Very Large (>1M)
Houma,United States of America,North America,-91.125,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",64592,Medium (50k-500k)
New Orleans,United States of America,North America,-90,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",785000,Large (500k-1M)
Gainesville,United States of America,North America,-82.125,29.71946747,0,Cfa,"Temperate, no dry season, hot summer",191097,Medium (50k-500k)
Ghadamis,Libya,Africa,9.375,30,0,BWh,"Arid, desert, hot",6623,Small (<50k)
Al Jaghbub,Libya,Africa,24.375,30,0,BWh,"Arid, desert, hot",1744,Small (<50k)
Ma'an,Jordan,Asia,35.625,30,0,BWh,"Arid, desert, hot",50350,Medium (50k-500k)
Shiraz,Iran,Asia,52.5,30,0,BSh,"Arid, steppe, hot",125000,Medium (50k-500k)
Multan,Pakistan,Asia,71.25,30,0,BWh,"Arid, desert, hot",1522000,Very Large (>1M)
Karnal,India,Asia,76.875,30,0,Cwa,"Temperate, dry winter, hot summer",225049,Medium (50k-500k)
Yaan,China,Asia,103.125,30,0,Cwa,"Temperate, dry winter, hot summer",340000,Medium (50k-500k)
Shishou,China,Asia,112.5,30,0,Cfa,"Temperate, no dry season, hot summer",231787,Medium (50k-500k)
Jiujiang,China,Asia,116.25,30,0,Cfa,"Temperate, no dry season, hot summer",545616,Large (500k-1M)
Fuyang,China,Asia,120,30,0,Cfa,"Temperate, no dry season, hot summer",771000,Large (500k-1M)
Ningbo,China,Asia,121.875,30,0,Cfa,"Temperate, no dry season, hot summer",1923000,Very Large (>1M)
Austin,United States of America,North America,-97.5,30,0,Cfa,"Temperate, no dry season, hot summer",1161000,Very Large (>1M)
Conroe,United States of America,North America,-95.625,30,0,Cfa,"Temperate, no dry season, hot summer",41643,Small (<50k)
Port Arthur,United States of America,North America,-93.75,30,0,Cfa,"Temperate, no dry season, hot summer",56945,Medium (50k-500k)
New Iberia,United States of America,North America,-91.875,30,0,Cfa,"Temperate, no dry season, hot summer",37540,Small (<50k)
New Orleans,United States of America,North America,-90,30,0,Cfa,"Temperate, no dry season, hot summer",785000,Large (500k-1M)
Lake City,United States of America,North America,-82.5,30,0,Cfa,"Temperate, no dry season, hot summer",29395,Small (<50k)
Ghadamis,Libya,Africa,9.84375,30.11647993,0.653031035,BWh,"Arid, desert, hot",6623,Small (<50k)
Giza,Egypt,Africa,30.9375,30.11647993,0.647422507,BWh,"Arid, desert, hot",2681863,Very Large (>1M)
Suez,Egypt,Africa,32.34375,30.11647993,0.658171915,BWh,"Arid, desert, hot",508335,Large (500k-1M)
Az Aubayr,Iraq,Asia,47.8125,30.11647993,1.062686036,BWh,"Arid, desert, hot",262219,Medium (50k-500k)
Dera Ghazi Khan,Pakistan,Asia,70.3125,30.11647993,1.117685822,BWh,"Arid, desert, hot",236093,Medium (50k-500k)
Multan,Pakistan,Asia,71.71875,30.11647993,1.075848986,BWh,"Arid, desert, hot",1522000,Very Large (>1M)
